2	2	2	2
7.65	7.86	7.70	8.05
8.31	7.55	2	2
49.00	32.67	2	16.05
2.09	1.87	1.76	1.60
3.02	1.32	1.13	1.11
6.36	2.88	0.97	0.86
3.27	1.74	1.16	1.15
4.22	3.99	4.10	4.55
7.27	7.27	7.08	8.23
2.63	2.25	1.64	1.39
2.12	1.99	1.40	1.60
3.35	2.99	2.42	2.47
2.68	2.06	1.35	1.47
2.34	1.56	0.99	1.31
2.47	1.54	1.00	1.19
2.17	1.45	0.94	1.07
1.71	0.98	0.75	1.08
2.35	1.23	0.76	1.11
5.36	3.60	2.02	1.59
2.72	1.75	1.15	1.13
3.07	2.29	1.65	1.80
5.27	4.79	3.85	4.07
2.77	2.57	2.11	2.25
1.73	1.48	1.32	1.58
1.42	1.44	1.11	1.09
1.62	1.38	1.11	1.06
1.74	0.97	0.78	0.74
2.89	1.35	1.09	1.20
5.51	1.57	1.10	1.60
3.36	2.05	1.32	1.48
2.80	1.83	1.18	1.42
2.79	1.77	1.19	1.14
2.10	1.46	0.96	1.24
1.60	1.07	0.89	2
1.51	0.91	0.77	0.86
2.67	1.02	0.74	0.92
9.03	1.29	0.82	1.00
2	2	2	2
2.91	1.67	1.70	1.83
2.81	1.70	1.67	1.81
2	2	2	2
2.41	1.74	1.22	1.25
13.99	2	2	2
1.53	1.43	1.24	1.38
3.90	1.11	0.89	0.99
8.31	3.48	2	2
2.76	2.04	1.33	1.17
14.40	16.52	17.40	20.72
2.41	2.12	1.56	1.43
4.42	4.38	4.34	4.37
2.48	1.79	1.25	1.21
2.63	2.42	2.25	2.05
2.87	2.63	2.42	2.17
2.50	2.38	2.08	1.97
2.55	2.34	2.11	1.96
2.95	2.86	2.24	2.25
3.45	3.41	2.48	2.52
1.95	1.37	0.99	1.13
1.89	1.40	0.91	1.03
2	1.29	0.87	1.04
2	2	1.07	1.30
2	2	2	2
12.04	9.21	5.15	5.38
1.86	1.35	0.92	0.92
1.94	1.33	0.92	1.11
1.37	1.23	0.86	1.19
1.84	1.33	0.90	1.18
1.32	1.01	0.75	1.01
1.40	0.98	0.77	1.21
1.96	1.25	0.88	1.01
1.93	1.05	0.74	0.94
1.68	1.05	0.75	1.00
1.70	1.15	0.78	1.22
4.50	1.57	0.78	0.94
3.03	1.18	0.78	1.02
2.07	1.13	0.80	0.92
1.84	1.18	0.87	0.95
2	2	2	2
2.78	2.25	1.66	1.67
2	2	2	2
1.71	1.29	0.80	0.94
2.37	1.20	0.79	0.89
10.61	1.55	0.86	0.95
3.48	3.18	2.82	3.24
3.39	2.21	1.47	1.33
3.13	1.94	1.28	1.25
2	2	2	2
3.03	3.04	2.59	2.82
7.46	2	2	2
2.65	1.87	1.09	0.91
8.22	9.12	8.42	9.37
5.15	5.19	4.66	4.62
2.20	2.20	2.00	2.31
4.09	3.78	3.60	3.91
2.91	1.95	1.09	1.32
7.15	7.22	7.15	8.34
8.78	8.73	8.87	9.00
3.53	2.74	2.07	1.93
2	2	2	2
2	2	2	2
6.90	6.40	6.75	6.78
3.55	2.98	2.43	2.64
3.84	3.21	3.08	3.15
2.27	1.68	1.44	9.23
2.30	1.81	1.44	9.40
2.14	1.84	1.42	8.47
2.20	1.86	1.54	8.32
1.44	1.15	0.95	1.04
1.55	1.18	0.99	1.32
2.19	2.10	1.62	1.78
1.69	1.01	0.85	0.90
1.29	1.02	0.76	0.84
1.78	1.22	0.94	1.04
1.99	1.24	0.74	0.85
3.59	2.40	1.47	1.73
4.10	3.86	3.60	3.84
3.35	3.14	2.87	3.01
3.27	2.77	2.63	2.75
2	2	2	2
2	2	2	2
2.16	1.36	0.94	1.14
2.24	1.33	0.97	1.06
2	1.26	2	2
2	2	2	2
2	2	2	2
1.98	1.27	0.92	1.03
1.96	1.28	0.92	1.09
1.40	0.87	0.74	0.84
2.42	0.99	0.77	0.97
8.31	1.29	0.81	0.91
2.27	1.72	1.26	1.34
2.55	1.79	1.31	1.28
10.87	10.64	10.87	11.32
3.54	3.13	2.85	2.74
3.36	3.11	3.63	3.91
11.28	11.36	11.27	11.80
2.20	2.23	2.25	2.05
3.38	3.34	3.28	3.43
2	2	2	2
2	2	18.61	17.35
2	2	2	2
2.69	1.82	1.31	1.37
3.68	3.16	2.37	2.60
4.46	2.74	1.80	1.79
3.77	2.37	1.75	1.72
3.23	2.43	1.79	1.79
4.87	3.87	3.32	2.90
2.39	1.56	1.10	1.08
2.60	1.60	1.08	1.10
3.01	1.95	1.43	1.23
3.26	2.39	2.12	1.68
1.88	1.37	1.32	0.91
2.54	2.00	1.93	1.59
3.07	2.97	3.39	3.16
2	2	2	2
2.85	2.16	2.52	2.25
3.01	2.33	2.43	2.10
4.46	3.43	3.24	3.16
4.77	3.88	3.75	3.36
6.43	6.30	6.49	6.58
10.24	8.48	8.99	10.08
16.33	14.82	13.27	14.00
22.28	21.04	17.89	17.77
1.38	0.94	1.00	0.92
4.84	4.51	4.45	4.90
2	2	2	2
3.14	2.37	2.30	2.20
3.43	2.01	1.68	1.28
2.84	1.94	1.90	1.46